# xi	p/p(1)	rho/rho(1)	u/u(1)
0.00000000	0.30619521	0.00000000	0.00000000
0.00400000	0.30619522	0.00000178	0.00320000
0.00800000	0.30619522	0.00000148	0.00640000
0.01200000	0.30619522	0.00000111	0.00960000
0.01600000	0.30619523	0.00000252	0.01280000
0.02000000	0.30619522	0.00000177	0.01600000
0.02400000	0.30619523	0.00000312	0.01920000
0.02800000	0.30619522	0.00000235	0.02240000
0.03200000	0.30619522	0.00000196	0.02560000
0.03600000	0.30619523	0.00000297	0.02880000
0.04000000	0.30619523	0.00000262	0.03200000
0.04400000	0.30619522	0.00000230	0.03520000
0.04800000	0.30619523	0.00000316	0.03840000
0.05200000	0.30619523	0.00000262	0.04160000
0.05600000	0.30619522	0.00000213	0.04480000
0.06000000	0.30619523	0.00000274	0.04800000
0.06400000	0.30619522	0.00000214	0.05120000
0.06800000	0.30619523	0.00000267	0.05440000
0.07200000	0.30619523	0.00000305	0.05760000
0.07600000	0.30619523	0.00000297	0.06080000
0.08000000	0.30619524	0.00000384	0.06400000
0.08400000	0.30619525	0.00000487	0.06720000
0.08800000	0.30619526	0.00000609	0.07040000
0.09200000	0.30619527	0.00000754	0.07360000
0.09600000	0.30619529	0.00000923	0.07680001
0.10000000	0.30619531	0.00001087	0.08000001
0.10400000	0.30619534	0.00001294	0.08320001
0.10800000	0.30619538	0.00001533	0.08640001
0.11200000	0.30619543	0.00001806	0.08960002
0.11600000	0.30619548	0.00002121	0.09280002
0.12000000	0.30619555	0.00002466	0.09600003
0.12400000	0.30619562	0.00002856	0.09920004
0.12800000	0.30619572	0.00003291	0.10240005
0.13200000	0.30619583	0.00003782	0.10560006
0.13600000	0.30619596	0.00004326	0.10880007
0.14000000	0.30619612	0.00004929	0.11200009
0.14400000	0.30619630	0.00005595	0.11520011
0.14800000	0.30619651	0.00006329	0.11840014
0.15200000	0.30619676	0.00007136	0.12160017
0.15600000	0.30619704	0.00008021	0.12480020
0.16000000	0.30619737	0.00008989	0.12800025
0.16400000	0.30619774	0.00010046	0.13120030
0.16800000	0.30619817	0.00011196	0.13440036
0.17200000	0.30619866	0.00012447	0.13760042
0.17600000	0.30619921	0.00013804	0.14080050
